AQI,High AQI,PM 1 ,High PM 1 ,PM 2.5,High PM 2.5 ,PM 10 ,High PM 10 
80,86,30,33,48,52,62,69
88,152,33,43,53,76,67,85
94,149,34,41,56,75,71,87
91,125,34,39,55,68,70,79
87,100,33,36,52,60,67,76
86,98,32,35,52,59,67,75
84,92,32,34,51,55,64,71
82,92,31,35,50,55,63,72
80,88,30,33,48,53,62,70
79,88,30,34,48,53,60,69
78,86,29,32,47,52,59,67
77,88,29,32,46,53,58,67
76,83,29,31,46,50,58,66
76,85,29,32,46,51,58,66
77,83,29,32,46,50,59,67
77,85,29,32,46,51,59,67
76,85,29,31,46,51,58,66
75,83,28,31,45,50,57,64
74,83,28,31,44,50,56,67
73,81,28,30,44,49,55,65
71,80,27,30,43,48,53,62
70,81,27,30,42,49,54,62
72,80,27,30,44,48,55,65
74,85,28,31,45,51,57,68
79,88,30,33,47,53,61,69
80,92,30,33,48,55,62,70
80,88,30,33,48,53,61,72
78,88,30,32,47,53,60,69
79,92,30,35,47,55,61,72
79,95,30,34,47,57,60,71
78,86,30,33,47,52,60,68
78,108,30,35,47,63,60,79
78,101,30,35,47,61,60,75
78,86,30,32,47,52,60,68
80,88,30,34,48,53,62,71
83,98,31,35,50,59,64,76
90,128,33,43,54,69,69,79
106,166,36,46,62,80,76,107
130,201,40,51,69,91,82,106
151,239,43,57,76,102,90,135
178,245,47,59,84,104,99,132
188,256,48,62,87,107,102,130
208,290,52,62,93,117,111,139
211,266,52,60,94,110,112,139
201,259,51,59,91,108,108,132
210,269,52,61,94,111,112,136
195,256,50,59,88,107,104,132
258,306,61,73,108,127,128,158
280,309,63,74,114,131,138,167
267,313,61,75,110,137,133,163
243,302,57,67,103,122,124,149
242,301,57,65,103,121,126,154
256,304,58,69,107,125,133,159
262,303,59,67,109,124,134,161
238,297,56,65,102,119,124,161
246,302,57,68,104,122,128,154
256,303,59,67,107,124,131,157
236,280,56,64,101,114,121,145
227,283,55,63,99,115,117,139
239,283,58,65,102,115,122,147
241,300,57,66,103,120,123,149
234,286,56,64,101,116,120,141
241,286,58,68,103,116,123,149
247,306,59,70,105,127,125,151
209,262,54,63,94,109,110,131
176,215,48,55,83,95,96,121
160,197,46,52,78,89,90,107
162,197,46,53,79,89,92,106
163,201,46,51,79,91,90,105
157,193,45,50,77,88,88,105
150,186,44,49,75,86,87,103
144,173,43,49,74,82,84,98
139,176,43,49,72,83,83,95
130,169,42,50,70,81,81,96
119,173,40,53,66,82,78,94
128,208,44,61,69,93,81,106
93,125,34,41,56,68,71,80
93,115,35,39,56,65,71,78
87,100,33,36,52,60,68,77
89,104,34,39,54,62,69,76
87,100,33,37,53,60,68,75
83,93,32,35,50,56,64,72
80,90,30,33,48,54,62,72
79,86,30,32,48,52,61,71
78,90,30,34,47,54,60,69
79,93,31,34,48,56,61,72
79,90,30,33,47,54,61,69
78,88,30,33,47,53,61,70
77,86,30,33,46,52,59,68
77,86,30,35,47,52,60,69
79,86,31,35,48,52,61,68
82,93,32,37,49,56,63,72
85,98,33,39,51,59,66,73
86,100,32,37,52,60,66,72
83,93,32,35,50,56,65,74
84,95,33,36,51,57,66,73
85,98,32,37,51,59,65,73
86,100,33,36,52,60,67,74
87,100,33,37,52,60,68,74
88,100,33,38,53,60,68,77
92,128,34,41,55,69,70,78
93,115,35,39,56,65,71,79
90,108,34,39,54,63,69,79
88,100,33,38,53,60,68,75
86,100,33,36,52,60,67,77
86,98,33,35,52,59,67,76
85,95,32,35,51,57,66,74
84,98,32,35,51,59,66,75
84,95,32,34,50,57,66,74
85,95,32,35,51,57,67,75
87,101,33,36,52,61,68,76
89,104,34,37,54,62,69,76
92,121,34,39,55,67,71,83
94,128,35,39,57,69,72,81
98,139,36,41,59,72,73,83
102,169,37,44,61,81,74,88
145,197,44,53,74,89,85,108
112,152,38,45,64,76,76,90
113,152,39,47,65,76,77,88
105,142,37,43,62,73,75,84
99,128,37,42,60,69,74,82
102,145,37,43,61,74,75,90
108,145,37,43,63,74,76,87
120,156,39,44,66,77,78,93
130,176,40,49,69,83,81,97
120,162,39,47,66,79,78,94
115,149,38,47,65,75,77,87
120,159,39,45,67,78,78,96
111,156,38,45,64,77,76,91
111,156,38,44,64,77,76,86
114,142,38,44,65,73,77,89
116,152,38,43,65,76,78,87
113,142,38,44,64,73,76,87
117,152,38,45,66,76,78,89
124,169,40,48,68,81,79,97
170,208,48,55,81,93,94,114
189,232,51,57,87,100,100,121
205,249,53,61,92,105,107,126
216,256,55,63,95,107,112,136
215,269,54,65,95,111,111,133
226,276,56,63,98,113,115,135
230,276,57,64,100,113,116,136
224,259,55,63,98,108,115,134
231,273,56,64,100,112,117,149
234,280,57,65,100,114,117,133
236,283,57,66,101,115,119,142
238,283,58,66,102,115,119,141
238,283,58,65,102,115,119,144
230,280,56,65,99,114,116,139
239,286,59,68,102,116,118,141
235,276,58,65,101,113,118,136
230,276,58,67,99,113,114,134
211,256,55,62,94,107,108,129
212,245,56,61,94,104,108,125
212,242,56,61,94,103,108,130
219,262,57,64,96,109,109,127
233,273,60,68,100,112,115,137
249,301,63,70,105,121,121,138
241,283,62,69,103,115,118,135
219,280,57,66,96,114,110,134
184,228,51,59,85,99,97,123
164,201,48,55,79,91,91,110
164,204,47,55,79,92,90,107
169,215,48,59,81,95,92,115
136,190,43,51,71,87,82,105
128,162,41,46,69,79,79,91
127,166,41,46,69,80,80,93
123,159,41,47,67,78,79,92
116,156,40,47,66,77,77,92
113,149,39,45,64,75,76,86
105,156,38,44,62,77,75,87
99,128,37,43,60,69,74,85
99,139,37,45,60,72,74,85
102,135,38,43,61,71,74,89
99,128,37,46,60,69,74,84
97,121,36,41,58,67,72,79
98,128,37,42,60,69,74,84
99,132,36,43,60,70,73,82
94,111,35,41,56,64,71,78
92,108,35,40,56,63,70,78
90,108,34,39,54,63,68,76
88,111,34,40,53,64,67,75
87,101,34,38,52,61,67,75
89,108,34,40,53,63,67,75
86,101,34,38,52,61,65,72
85,100,33,39,51,60,65,71
82,93,32,38,49,56,63,72
80,95,32,36,48,57,62,68
81,95,32,37,49,57,63,70
83,97,33,37,50,58,64,74
83,93,32,35,50,56,64,73
83,95,32,35,50,57,64,72
83,97,32,35,50,58,64,74
86,98,33,37,51,59,67,76
84,104,32,36,50,62,65,88
83,97,32,36,50,58,64,72
89,128,34,44,53,69,68,81
101,169,38,50,61,81,73,91
91,121,35,43,55,67,69,79
88,104,33,38,53,62,68,76
90,108,34,38,54,63,69,77
95,121,35,42,57,67,72,79
96,125,36,41,58,68,72,81
96,128,36,43,58,69,72,81
98,128,36,43,59,69,73,83
99,128,37,43,60,69,74,87
101,142,37,43,61,73,74,88
112,142,39,44,64,73,76,87
107,152,38,45,63,76,75,89
103,145,37,45,62,74,74,83
100,135,36,44,60,71,74,83
101,135,37,42,61,71,74,83
103,142,38,46,62,73,75,91
111,139,39,46,64,72,76,91
105,142,38,45,62,73,75,89
96,121,35,40,58,67,72,79
113,162,39,48,64,79,77,99
125,176,41,48,68,83,80,98
123,173,40,50,68,82,80,95
147,180,45,51,74,84,86,99
138,176,44,51,72,83,84,99
135,180,42,49,71,84,82,97
119,156,40,47,66,77,78,94
119,149,40,46,66,75,78,95
120,156,40,45,67,77,78,90
105,139,38,43,62,72,75,87
103,139,37,43,62,72,75,84
110,145,38,43,64,74,76,87
106,142,37,44,62,73,76,90
110,142,38,44,64,73,76,90
109,142,38,43,63,73,76,89
108,145,38,43,63,74,76,89
106,139,37,41,63,72,76,86
106,142,37,43,62,73,76,86
98,149,36,42,60,75,74,83
99,128,35,40,59,69,73,81
96,135,35,40,58,71,72,80
94,118,34,39,57,66,72,78
93,118,34,38,56,66,71,80
94,115,34,38,57,65,72,87
96,121,35,40,58,67,72,82
98,152,36,45,60,76,74,90
156,208,46,57,77,93,90,111
139,176,43,49,72,83,84,103
124,162,41,47,68,79,80,93
145,200,45,54,74,90,86,108
256,301,66,73,107,121,128,155
209,280,57,69,93,114,110,143
164,197,47,53,79,89,92,116
190,256,53,67,87,107,100,133
234,300,63,72,101,120,116,139
195,259,54,66,89,108,104,129
157,201,48,57,78,91,87,104
158,201,48,55,78,91,89,108
122,162,40,47,67,79,79,92
127,166,41,48,69,80,81,101
101,142,36,43,61,73,75,91
98,132,35,42,59,70,74,84
96,132,35,41,58,70,73,82
97,135,35,41,58,71,73,81
100,132,36,41,61,70,75,89
109,159,38,47,63,78,77,95
99,139,36,43,60,72,74,82
97,132,36,41,58,70,73,82
95,118,35,43,57,66,72,81
92,118,35,41,56,66,71,80
88,101,33,38,53,61,68,76
86,97,33,37,52,58,67,75
84,93,32,35,50,56,65,72
85,95,32,35,51,57,66,74
85,100,32,35,51,60,66,74
83,95,32,34,50,57,65,75
82,97,31,36,49,58,64,72
82,92,32,34,49,55,64,71
81,90,31,34,49,54,63,71
80,88,31,34,48,53,62,69
80,92,31,34,48,55,62,72
79,90,30,33,48,54,61,68
77,88,30,35,46,53,60,70
75,88,30,36,45,53,58,66
76,85,30,34,46,51,59,65
72,81,29,32,44,49,56,63
71,80,29,31,43,48,55,63
70,81,28,31,42,49,54,64
69,81,28,32,42,49,54,63
70,80,28,31,42,48,54,64
71,81,28,32,43,49,55,64
75,85,29,32,45,51,58,66
82,95,31,37,50,57,64,73
86,101,33,37,52,61,66,75
91,111,34,40,55,64,69,77
93,125,35,42,56,68,69,84
99,142,37,44,59,73,72,83
93,115,35,41,56,65,71,78
106,162,39,50,62,79,76,101
141,197,44,57,73,89,84,107
185,232,52,60,86,100,98,117
193,235,52,60,88,101,102,118
201,245,54,60,91,104,105,128
179,221,50,57,84,97,96,112
156,204,46,54,77,92,90,111
136,183,42,51,71,85,83,103
98,128,37,43,60,69,74,83
100,142,37,43,61,73,75,87
89,111,34,39,54,64,70,79
85,100,33,35,51,60,67,74
85,95,33,35,51,57,66,76
85,98,33,37,51,59,67,76
85,97,33,36,51,58,67,75
86,100,33,36,52,60,67,75
87,108,33,39,52,63,68,78
89,115,34,40,54,65,69,78
90,125,34,42,54,68,70,79
79,95,31,36,48,57,61,72
77,86,30,34,46,52,60,71
79,88,31,35,48,53,61,70
80,88,31,34,48,53,62,72
82,92,32,35,49,55,64,72
80,88,31,35,48,53,62,73
82,92,32,35,49,55,64,75
83,92,32,35,50,55,65,73
80,92,31,35,48,55,62,73
80,88,32,35,48,53,62,72
80,97,31,36,48,58,62,71
82,95,32,37,50,57,64,73
81,88,31,34,48,53,63,75
79,92,31,34,48,55,62,72
79,86,30,34,48,52,62,70
80,88,31,34,48,53,62,71
84,98,32,37,51,59,66,76
82,93,31,35,50,56,65,73
84,95,32,35,50,57,66,76
83,97,32,35,50,58,66,75
85,98,32,37,51,59,68,79
86,95,33,35,52,57,68,76
88,101,33,37,53,61,69,80
89,104,34,37,54,62,70,82
88,108,33,37,53,63,69,77
86,98,32,36,52,59,68,76
84,93,32,35,51,56,66,75
83,90,32,34,50,54,65,73
82,93,31,34,49,56,64,76
80,86,31,33,48,52,63,71
80,86,30,33,48,52,63,71
79,88,30,33,48,53,62,70
79,86,30,33,48,52,62,74
79,86,30,34,47,52,62,72
80,88,30,33,48,53,63,71
77,85,29,32,46,51,60,69
77,86,29,33,46,52,60,69
76,83,29,31,46,50,60,69
76,85,28,32,46,51,59,68
75,83,28,31,45,50,58,67
73,80,27,31,44,48,58,66
71,80,27,30,43,48,56,66
72,78,27,31,43,47,56,64
71,80,27,30,43,48,55,64
71,81,27,30,43,49,55,66
71,80,27,30,43,48,56,66
72,78,27,29,43,47,56,65
71,78,27,29,43,47,55,63
72,78,27,29,43,47,56,64
72,80,27,30,44,48,56,63
75,85,28,32,45,51,59,72
74,85,28,31,45,51,58,70
74,85,28,31,45,51,58,66
75,85,28,31,45,51,59,67
77,83,29,31,46,50,60,69
78,85,29,32,47,51,62,70
78,86,29,32,47,52,61,69
78,85,29,32,47,51,62,70
77,85,29,31,46,51,60,70
77,85,29,32,46,51,61,70
79,86,29,32,47,52,62,69
81,90,30,34,49,54,64,72
82,88,30,33,49,53,64,73
83,98,31,33,50,59,66,73
83,92,31,34,50,55,65,75
84,93,31,34,50,56,66,73
86,97,32,35,52,58,68,76
87,95,32,35,52,57,69,77
89,104,33,36,53,62,70,79
91,101,33,36,54,61,71,78
93,115,34,38,56,65,72,81
94,121,34,37,57,67,73,81
98,142,35,41,58,73,74,88
101,142,36,42,61,73,75,87
106,139,37,42,63,72,76,87
114,142,38,44,65,73,78,92
103,132,36,42,62,70,76,88
99,132,36,43,60,70,75,90
101,149,36,42,61,75,76,93
99,135,36,42,60,71,75,86
98,145,36,43,59,74,74,85
95,135,34,40,57,71,72,83
